channel,feature,n_anomaly,n_placebo,median_anomaly,median_placebo,p_bonferroni,significant
CADC0872,level,41,1495,1.451,2.020,1.000000e+00,False
CADC0872,diff,41,1495,2.928,-0.801,7.88e-24,True
CADC0872,diff2,41,1495,2.962,0.097,1.11e-22,True
CADC0873,level,29,1485,0.769,2.194,1.000000e+00,False
CADC0873,diff,28,1485,4.329,-1.162,2.41e-17,True
CADC0873,diff2,28,1485,4.324,0.040,3.06e-16,True
CADC0874,level,50,625,1.036,1.067,1.000000e+00,False
CADC0874,diff,50,625,2.398,-0.011,5.40e-16,True
CADC0874,diff2,50,625,2.421,-0.003,2.89e-22,True
CADC0888,level,36,760,0.985,1.164,1.000000e+00,False
CADC0888,diff,33,654,2.386,0.193,6.93e-06,True
CADC0888,diff2,33,659,3.383,-0.435,3.26e-13,True
CADC0894,level,21,615,0.889,0.914,1.000000e+00,False
CADC0894,diff,16,569,2.471,0.269,3.90e-06,True
CADC0894,diff2,16,571,2.197,0.244,1.94e-04,True
